Москва;1
Краснодар;2
Екатеринбург;3
Челябинск;4
Омск;5
Воронеж;6
Санкт-Петербург;7
Нижний Новгород;8
Красноярск;9
Новосибирск;10
Казань;11
Самара;12
Ростов-на-Дону;13
Волгоград;14
Саратов;15
Тюмень;16
Ярославль;17
Томск;18
Рязань;19
Пенза;20
Липецк;21
Уфа;22
Пермь;23
Ижевск;24
Барнаул;25
Ульяновск;26
Оренбург;27
Тула;28
Набережные Челны;29
Киров;30
Чебоксары;31
Калининград;32
Курск;33
Ставрополь;34
Магнитогорск;35
Тверь;36
Иваново;37
Брянск;38
Сочи;39
Калуга;40
Орел;41
Вологда;42
Астрахань;43
Белгород;44
Владимир;45
Йошкар-Ола;46
Курган;47
Мурманск;48
Нижнекамск;49
Нижний Тагил;50
Новокузнецк;51
Саранск;52
Смоленск;53
Сургут;54
Тольятти;55
Улан-Удэ;56
Череповец;57
Чита;58
Благовещенск;59
Новороссийск;60
Сыктыквар;61
Хабаровск;62
Псков;63
Подольск;64
Химки;65
Балашиха;66
Кемерово;67
Иркутск;68